date,temperature_2m
2024-01-28 05:00:00,-2.0414999
2024-01-28 06:00:00,-1.9914999
2024-01-28 07:00:00,-2.1415
2024-01-28 08:00:00,-1.0914999
2024-01-28 09:00:00,0.5585
2024-01-28 10:00:00,2.5085
2024-01-28 11:00:00,4.3585
2024-01-28 12:00:00,5.7085
2024-01-28 13:00:00,6.4084997
2024-01-28 14:00:00,6.3085
2024-01-28 15:00:00,5.1584997
2024-01-28 16:00:00,3.4585001
2024-01-28 17:00:00,2.6085
2024-01-28 18:00:00,2.1585
2024-01-28 19:00:00,1.8085
2024-01-28 20:00:00,1.4085001
2024-01-28 21:00:00,1.0585
2024-01-28 22:00:00,0.5585
2024-01-28 23:00:00,0.0585
2024-01-29 00:00:00,-0.1415
2024-01-29 01:00:00,0.1585
2024-01-29 02:00:00,0.0585
2024-01-29 03:00:00,0.1585
2024-01-29 04:00:00,0.008499999
