date,temperature_2m
2024-01-09 05:00:00,-10.1414995
2024-01-09 06:00:00,-10.2915
2024-01-09 07:00:00,-10.4915
2024-01-09 08:00:00,-9.8914995
2024-01-09 09:00:00,-8.6414995
2024-01-09 10:00:00,-6.9415
2024-01-09 11:00:00,-5.2915
2024-01-09 12:00:00,-4.0915003
2024-01-09 13:00:00,-3.9915001
2024-01-09 14:00:00,-3.9915001
2024-01-09 15:00:00,-6.3415003
2024-01-09 16:00:00,-6.7415004
2024-01-09 17:00:00,-7.1915
2024-01-09 18:00:00,-7.5915003
2024-01-09 19:00:00,-7.8915
2024-01-09 20:00:00,-7.9915004
2024-01-09 21:00:00,-7.9915004
2024-01-09 22:00:00,-8.0415
2024-01-09 23:00:00,-8.091499
2024-01-10 00:00:00,-8.1915
2024-01-10 01:00:00,-8.841499
2024-01-10 02:00:00,-8.841499
2024-01-10 03:00:00,-8.7415
2024-01-10 04:00:00,-8.6414995
