date,temperature_2m
2024-01-10 05:00:00,-8.591499
2024-01-10 06:00:00,-8.4915
2024-01-10 07:00:00,-8.3914995
2024-01-10 08:00:00,-7.8915
2024-01-10 09:00:00,-6.4415
2024-01-10 10:00:00,-4.6415
2024-01-10 11:00:00,-2.9415
2024-01-10 12:00:00,-1.7915
2024-01-10 13:00:00,-1.8414999
2024-01-10 14:00:00,-2.1415
2024-01-10 15:00:00,-5.0915003
2024-01-10 16:00:00,-5.5915003
2024-01-10 17:00:00,-6.2915
2024-01-10 18:00:00,-7.0415
2024-01-10 19:00:00,-7.2415004
2024-01-10 20:00:00,-7.2915
2024-01-10 21:00:00,-7.8915
2024-01-10 22:00:00,-7.8415003
2024-01-10 23:00:00,-7.1915
2024-01-11 00:00:00,-6.9415
2024-01-11 01:00:00,-6.1415
2024-01-11 02:00:00,-5.7415004
2024-01-11 03:00:00,-5.2415004
2024-01-11 04:00:00,-4.5415
