date,temperature_2m
2024-01-27 05:00:00,3.5585
2024-01-27 06:00:00,4.2085
2024-01-27 07:00:00,4.5585
2024-01-27 08:00:00,4.9585
2024-01-27 09:00:00,5.5585
2024-01-27 10:00:00,5.8585
2024-01-27 11:00:00,6.2085
2024-01-27 12:00:00,6.2085
2024-01-27 13:00:00,6.5585
2024-01-27 14:00:00,6.7584996
2024-01-27 15:00:00,5.9585
2024-01-27 16:00:00,4.2584996
2024-01-27 17:00:00,3.4085
2024-01-27 18:00:00,2.8585
2024-01-27 19:00:00,2.3085
2024-01-27 20:00:00,2.0085
2024-01-27 21:00:00,1.6085
2024-01-27 22:00:00,1.3585
2024-01-27 23:00:00,1.2085
2024-01-28 00:00:00,1.6085
2024-01-28 01:00:00,1.4085001
2024-01-28 02:00:00,0.108500004
2024-01-28 03:00:00,-1.8915
2024-01-28 04:00:00,-2.2415
