date,temperature_2m
2024-01-25 05:00:00,6.3585
2024-01-25 06:00:00,6.2085
2024-01-25 07:00:00,5.8085
2024-01-25 08:00:00,5.7085
2024-01-25 09:00:00,6.3085
2024-01-25 10:00:00,7.2085
2024-01-25 11:00:00,7.7584996
2024-01-25 12:00:00,8.0585
2024-01-25 13:00:00,8.3585005
2024-01-25 14:00:00,8.2085
2024-01-25 15:00:00,7.3585
2024-01-25 16:00:00,6.3585
2024-01-25 17:00:00,6.0084996
2024-01-25 18:00:00,5.8085
2024-01-25 19:00:00,5.7085
2024-01-25 20:00:00,5.6584997
2024-01-25 21:00:00,5.4585
2024-01-25 22:00:00,5.0585
2024-01-25 23:00:00,4.4084997
2024-01-26 00:00:00,3.9085
2024-01-26 01:00:00,3.6585
2024-01-26 02:00:00,3.4085
2024-01-26 03:00:00,3.0085
2024-01-26 04:00:00,2.6585
