date,temperature_2m
2024-01-23 05:00:00,3.7585
2024-01-23 06:00:00,3.4085
2024-01-23 07:00:00,3.2085001
2024-01-23 08:00:00,3.5585
2024-01-23 09:00:00,4.4084997
2024-01-23 10:00:00,5.5084996
2024-01-23 11:00:00,6.4585
2024-01-23 12:00:00,6.8585
2024-01-23 13:00:00,7.5585
2024-01-23 14:00:00,7.2584996
2024-01-23 15:00:00,6.4585
2024-01-23 16:00:00,5.5084996
2024-01-23 17:00:00,4.6085
2024-01-23 18:00:00,3.8085
2024-01-23 19:00:00,3.3085
2024-01-23 20:00:00,2.5085
2024-01-23 21:00:00,2.5085
2024-01-23 22:00:00,3.9085
2024-01-23 23:00:00,4.8585
2024-01-24 00:00:00,4.8585
2024-01-24 01:00:00,5.4585
2024-01-24 02:00:00,6.0084996
2024-01-24 03:00:00,7.0084996
2024-01-24 04:00:00,7.9585
