date,temperature_2m
2024-01-13 05:00:00,1.3585
2024-01-13 06:00:00,1.4085001
2024-01-13 07:00:00,1.3585
2024-01-13 08:00:00,1.5085001
2024-01-13 09:00:00,1.9085001
2024-01-13 10:00:00,1.9585
2024-01-13 11:00:00,1.8085
2024-01-13 12:00:00,1.7085
2024-01-13 13:00:00,1.6585001
2024-01-13 14:00:00,1.6085
2024-01-13 15:00:00,1.6085
2024-01-13 16:00:00,1.7585001
2024-01-13 17:00:00,1.9085001
2024-01-13 18:00:00,2.1085
2024-01-13 19:00:00,2.1585
2024-01-13 20:00:00,2.2085001
2024-01-13 21:00:00,2.2085001
2024-01-13 22:00:00,2.0585
2024-01-13 23:00:00,1.9585
2024-01-14 00:00:00,1.6085
2024-01-14 01:00:00,1.6085
2024-01-14 02:00:00,1.3085
2024-01-14 03:00:00,1.4585
2024-01-14 04:00:00,1.4585
