date,temperature_2m
2024-01-17 05:00:00,-4.2415004
2024-01-17 06:00:00,-4.4915004
2024-01-17 07:00:00,-4.5415
2024-01-17 08:00:00,-4.0915003
2024-01-17 09:00:00,-2.9415
2024-01-17 10:00:00,-1.8915
2024-01-17 11:00:00,-0.6915
2024-01-17 12:00:00,-0.19150001
2024-01-17 13:00:00,-0.1415
2024-01-17 14:00:00,-0.4415
2024-01-17 15:00:00,-1.2414999
2024-01-17 16:00:00,-1.6915
2024-01-17 17:00:00,-1.7915
2024-01-17 18:00:00,-1.7414999
2024-01-17 19:00:00,-1.8915
2024-01-17 20:00:00,-1.9914999
2024-01-17 21:00:00,-2.1915
2024-01-17 22:00:00,-2.1415
2024-01-17 23:00:00,-2.0414999
2024-01-18 00:00:00,-2.0414999
2024-01-18 01:00:00,-2.8415
2024-01-18 02:00:00,-2.9415
2024-01-18 03:00:00,-2.7415
2024-01-18 04:00:00,-3.1415
