date,temperature_2m
2024-01-18 05:00:00,-4.0415
2024-01-18 06:00:00,-4.4915004
2024-01-18 07:00:00,-3.8415
2024-01-18 08:00:00,-3.5414999
2024-01-18 09:00:00,-2.4915
2024-01-18 10:00:00,-1.4415
2024-01-18 11:00:00,-0.6415
2024-01-18 12:00:00,0.108500004
2024-01-18 13:00:00,0.5085
2024-01-18 14:00:00,0.108500004
2024-01-18 15:00:00,-1.7414999
2024-01-18 16:00:00,-2.8415
2024-01-18 17:00:00,-3.1415
2024-01-18 18:00:00,-3.3415
2024-01-18 19:00:00,-3.7415
2024-01-18 20:00:00,-4.2915
2024-01-18 21:00:00,-4.8415003
2024-01-18 22:00:00,-5.0915003
2024-01-18 23:00:00,-5.1415
2024-01-19 00:00:00,-4.9415
2024-01-19 01:00:00,-4.1415
2024-01-19 02:00:00,-3.9415
2024-01-19 03:00:00,-3.5915
2024-01-19 04:00:00,-3.1915
