date,temperature_2m
2024-01-14 05:00:00,1.7085
2024-01-14 06:00:00,1.8085
2024-01-14 07:00:00,1.4585
2024-01-14 08:00:00,1.6585001
2024-01-14 09:00:00,2.0085
2024-01-14 10:00:00,2.3585
2024-01-14 11:00:00,2.5585
2024-01-14 12:00:00,2.9085
2024-01-14 13:00:00,2.4085
2024-01-14 14:00:00,2.2585
2024-01-14 15:00:00,1.9085001
2024-01-14 16:00:00,1.6585001
2024-01-14 17:00:00,1.4085001
2024-01-14 18:00:00,1.6585001
2024-01-14 19:00:00,1.3585
2024-01-14 20:00:00,1.1585001
2024-01-14 21:00:00,0.95849997
2024-01-14 22:00:00,1.0085
2024-01-14 23:00:00,1.0085
2024-01-15 00:00:00,0.9085
2024-01-15 01:00:00,0.9085
2024-01-15 02:00:00,0.95849997
2024-01-15 03:00:00,0.8585
2024-01-15 04:00:00,0.95849997
