period,subba,subba-name,parent,parent-name,value,value-units
2023-02-16T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1740,megawatthours
2023-02-16T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1149,megawatthours
2023-02-16T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1727,megawatthours
2023-02-16T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,718,megawatthours
2023-02-16T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,908,megawatthours
2023-02-16T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1403,megawatthours
2023-02-16T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1111,megawatthours
2023-02-16T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,316,megawatthours
2023-02-16T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,656,megawatthours
2023-02-16T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5726,megawatthours
2023-02-16T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2347,megawatthours
2023-02-15T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1681,megawatthours
2023-02-15T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1100,megawatthours
2023-02-15T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1662,megawatthours
2023-02-15T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,701,megawatthours
2023-02-15T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,873,megawatthours
2023-02-15T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1361,megawatthours
2023-02-15T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1057,megawatthours
2023-02-15T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,292,megawatthours
2023-02-15T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,634,megawatthours
2023-02-15T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5766,megawatthours
2023-02-15T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2245,megawatthours
2023-02-15T22,ZONA,West - NYIS,NYIS,New York Independent System Operator,1622,megawatthours
2023-02-15T22,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1002,megawatthours
2023-02-15T22,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1560,megawatthours
2023-02-15T22,ZOND,North - NYIS,NYIS,New York Independent System Operator,684,megawatthours
2023-02-15T22,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,819,megawatthours
2023-02-15T22,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1242,megawatthours
2023-02-15T22,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,952,megawatthours
2023-02-15T22,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,268,megawatthours
2023-02-15T22,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,604,megawatthours
2023-02-15T22,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5653,megawatthours
2023-02-15T22,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2056,megawatthours
2023-02-15T21,ZONA,West - NYIS,NYIS,New York Independent System Operator,1586,megawatthours
2023-02-15T21,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,923,megawatthours
2023-02-15T21,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1456,megawatthours
2023-02-15T21,ZOND,North - NYIS,NYIS,New York Independent System Operator,670,megawatthours
2023-02-15T21,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,774,megawatthours
2023-02-15T21,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1116,megawatthours
2023-02-15T21,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,837,megawatthours
2023-02-15T21,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,250,megawatthours
2023-02-15T21,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,583,megawatthours
2023-02-15T21,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5580,megawatthours
2023-02-15T21,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1885,megawatthours
2023-02-15T20,ZONA,West - NYIS,NYIS,New York Independent System Operator,1602,megawatthours
2023-02-15T20,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,973,megawatthours
2023-02-15T20,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1383,megawatthours
2023-02-15T20,ZOND,North - NYIS,NYIS,New York Independent System Operator,672,megawatthours
2023-02-15T20,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,755,megawatthours
2023-02-15T20,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1038,megawatthours
2023-02-15T20,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,748,megawatthours
2023-02-15T20,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,241,megawatthours
2023-02-15T20,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,567,megawatthours
2023-02-15T20,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5536,megawatthours
2023-02-15T20,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1755,megawatthours
2023-02-15T19,ZONA,West - NYIS,NYIS,New York Independent System Operator,1687,megawatthours
2023-02-15T19,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1026,megawatthours
2023-02-15T19,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1357,megawatthours
2023-02-15T19,ZOND,North - NYIS,NYIS,New York Independent System Operator,632,megawatthours
2023-02-15T19,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,723,megawatthours
2023-02-15T19,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1063,megawatthours
2023-02-15T19,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,708,megawatthours
2023-02-15T19,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,233,megawatthours
2023-02-15T19,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,565,megawatthours
2023-02-15T19,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5525,megawatthours
2023-02-15T19,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1682,megawatthours
2023-02-15T18,ZONA,West - NYIS,NYIS,New York Independent System Operator,1697,megawatthours
2023-02-15T18,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,990,megawatthours
2023-02-15T18,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1385,megawatthours
2023-02-15T18,ZOND,North - NYIS,NYIS,New York Independent System Operator,609,megawatthours
2023-02-15T18,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,717,megawatthours
2023-02-15T18,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1102,megawatthours
2023-02-15T18,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,703,megawatthours
2023-02-15T18,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,233,megawatthours
2023-02-15T18,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,568,megawatthours
2023-02-15T18,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5554,megawatthours
2023-02-15T18,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1686,megawatthours
2023-02-15T17,ZONA,West - NYIS,NYIS,New York Independent System Operator,1680,megawatthours
2023-02-15T17,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,953,megawatthours
2023-02-15T17,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1392,megawatthours
2023-02-15T17,ZOND,North - NYIS,NYIS,New York Independent System Operator,630,megawatthours
2023-02-15T17,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,726,megawatthours
2023-02-15T17,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1104,megawatthours
2023-02-15T17,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,780,megawatthours
2023-02-15T17,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,242,megawatthours
2023-02-15T17,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,575,megawatthours
2023-02-15T17,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5562,megawatthours
2023-02-15T17,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1706,megawatthours
2023-02-15T16,ZONA,West - NYIS,NYIS,New York Independent System Operator,1676,megawatthours
2023-02-15T16,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,926,megawatthours
2023-02-15T16,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1423,megawatthours
2023-02-15T16,ZOND,North - NYIS,NYIS,New York Independent System Operator,625,megawatthours
2023-02-15T16,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,806,megawatthours
2023-02-15T16,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1212,megawatthours
2023-02-15T16,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,823,megawatthours
2023-02-15T16,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,249,megawatthours
2023-02-15T16,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,590,megawatthours
2023-02-15T16,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5565,megawatthours
2023-02-15T16,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1777,megawatthours
2023-02-15T15,ZONA,West - NYIS,NYIS,New York Independent System Operator,1642,megawatthours
2023-02-15T15,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,943,megawatthours
2023-02-15T15,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1507,megawatthours
2023-02-15T15,ZOND,North - NYIS,NYIS,New York Independent System Operator,638,megawatthours
2023-02-15T15,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,867,megawatthours
2023-02-15T15,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1299,megawatthours
2023-02-15T15,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,879,megawatthours
2023-02-15T15,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,263,megawatthours
2023-02-15T15,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,607,megawatthours
2023-02-15T15,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5597,megawatthours
2023-02-15T15,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1974,megawatthours
2023-02-15T14,ZONA,West - NYIS,NYIS,New York Independent System Operator,1665,megawatthours
2023-02-15T14,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1041,megawatthours
2023-02-15T14,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1668,megawatthours
2023-02-15T14,ZOND,North - NYIS,NYIS,New York Independent System Operator,670,megawatthours
2023-02-15T14,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,899,megawatthours
2023-02-15T14,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1379,megawatthours
2023-02-15T14,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1028,megawatthours
2023-02-15T14,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,294,megawatthours
2023-02-15T14,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,635,megawatthours
2023-02-15T14,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5533,megawatthours
2023-02-15T14,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2082,megawatthours
2023-02-15T13,ZONA,West - NYIS,NYIS,New York Independent System Operator,1673,megawatthours
2023-02-15T13,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1101,megawatthours
2023-02-15T13,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1826,megawatthours
2023-02-15T13,ZOND,North - NYIS,NYIS,New York Independent System Operator,671,megawatthours
2023-02-15T13,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,937,megawatthours
2023-02-15T13,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1384,megawatthours
2023-02-15T13,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1071,megawatthours
2023-02-15T13,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,298,megawatthours
2023-02-15T13,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,624,megawatthours
2023-02-15T13,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5258,megawatthours
2023-02-15T13,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2053,megawatthours
2023-02-15T12,ZONA,West - NYIS,NYIS,New York Independent System Operator,1610,megawatthours
2023-02-15T12,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1062,megawatthours
