period,subba,subba-name,parent,parent-name,value,value-units
2024-04-04T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1876,megawatthours
2024-04-04T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1163,megawatthours
2024-04-04T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1927,megawatthours
2024-04-04T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,726,megawatthours
2024-04-04T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,919,megawatthours
2024-04-04T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1387,megawatthours
2024-04-04T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1252,megawatthours
2024-04-04T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,368,megawatthours
2024-04-04T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,737,megawatthours
2024-04-04T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6016,megawatthours
2024-04-04T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2571,megawatthours
2024-04-03T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1855,megawatthours
2024-04-03T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1159,megawatthours
2024-04-03T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1897,megawatthours
2024-04-03T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,730,megawatthours
2024-04-03T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,938,megawatthours
2024-04-03T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1385,megawatthours
2024-04-03T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1249,megawatthours
2024-04-03T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,365,megawatthours
2024-04-03T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,739,megawatthours
2024-04-03T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6102,megawatthours
2024-04-03T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2572,megawatthours
2024-04-03T22,ZONA,West - NYIS,NYIS,New York Independent System Operator,1860,megawatthours
2024-04-03T22,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1157,megawatthours
2024-04-03T22,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1896,megawatthours
2024-04-03T22,ZOND,North - NYIS,NYIS,New York Independent System Operator,707,megawatthours
2024-04-03T22,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,931,megawatthours
2024-04-03T22,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1384,megawatthours
2024-04-03T22,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1236,megawatthours
2024-04-03T22,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,358,megawatthours
2024-04-03T22,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,740,megawatthours
2024-04-03T22,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6183,megawatthours
2024-04-03T22,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2560,megawatthours
2024-04-03T21,ZONA,West - NYIS,NYIS,New York Independent System Operator,1847,megawatthours
2024-04-03T21,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1146,megawatthours
2024-04-03T21,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1869,megawatthours
2024-04-03T21,ZOND,North - NYIS,NYIS,New York Independent System Operator,706,megawatthours
2024-04-03T21,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,918,megawatthours
2024-04-03T21,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1359,megawatthours
2024-04-03T21,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1213,megawatthours
2024-04-03T21,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,353,megawatthours
2024-04-03T21,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,720,megawatthours
2024-04-03T21,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6164,megawatthours
2024-04-03T21,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2490,megawatthours
2024-04-03T20,ZONA,West - NYIS,NYIS,New York Independent System Operator,1824,megawatthours
2024-04-03T20,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1135,megawatthours
2024-04-03T20,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1843,megawatthours
