period,subba,subba-name,parent,parent-name,value,value-units
2022-03-19T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1633,megawatthours
2022-03-19T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1043,megawatthours
2022-03-19T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1644,megawatthours
2022-03-19T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,690,megawatthours
2022-03-19T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,788,megawatthours
2022-03-19T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1274,megawatthours
2022-03-19T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1007,megawatthours
2022-03-19T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,304,megawatthours
2022-03-19T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,604,megawatthours
2022-03-19T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5348,megawatthours
2022-03-19T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2157,megawatthours
2022-03-18T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1609,megawatthours
2022-03-18T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1011,megawatthours
2022-03-18T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1604,megawatthours
2022-03-18T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,680,megawatthours
2022-03-18T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,760,megawatthours
2022-03-18T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1238,megawatthours
2022-03-18T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,969,megawatthours
2022-03-18T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,297,megawatthours
2022-03-18T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,589,megawatthours
2022-03-18T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5378,megawatthours
2022-03-18T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2059,megawatthours
2022-03-18T22,ZONA,West - NYIS,NYIS,New York Independent System Operator,1607,megawatthours
2022-03-18T22,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,990,megawatthours
2022-03-18T22,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1551,megawatthours
2022-03-18T22,ZOND,North - NYIS,NYIS,New York Independent System Operator,662,megawatthours
2022-03-18T22,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,725,megawatthours
2022-03-18T22,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1190,megawatthours
2022-03-18T22,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,896,megawatthours
2022-03-18T22,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,288,megawatthours
2022-03-18T22,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,595,megawatthours
2022-03-18T22,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5519,megawatthours
2022-03-18T22,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1932,megawatthours
2022-03-18T21,ZONA,West - NYIS,NYIS,New York Independent System Operator,1603,megawatthours
2022-03-18T21,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,949,megawatthours
2022-03-18T21,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1452,megawatthours
