period,subba,subba-name,parent,parent-name,value,value-units
2023-03-12T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1762,megawatthours
2023-03-12T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1152,megawatthours
2023-03-12T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1984,megawatthours
2023-03-12T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,748,megawatthours
2023-03-12T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,976,megawatthours
2023-03-12T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1419,megawatthours
2023-03-12T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1182,megawatthours
2023-03-12T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,339,megawatthours
2023-03-12T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,663,megawatthours
2023-03-12T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5491,megawatthours
2023-03-12T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2357,megawatthours
2023-03-11T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1715,megawatthours
2023-03-11T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1083,megawatthours
2023-03-11T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1942,megawatthours
2023-03-11T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,730,megawatthours
2023-03-11T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,920,megawatthours
2023-03-11T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1358,megawatthours
2023-03-11T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1137,megawatthours
2023-03-11T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,330,megawatthours
2023-03-11T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,645,megawatthours
2023-03-11T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5414,megawatthours
2023-03-11T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2288,megawatthours
2023-03-11T22,ZONA,West - NYIS,NYIS,New York Independent System Operator,1684,megawatthours
2023-03-11T22,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1003,megawatthours
2023-03-11T22,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1916,megawatthours
2023-03-11T22,ZOND,North - NYIS,NYIS,New York Independent System Operator,710,megawatthours
2023-03-11T22,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,838,megawatthours
2023-03-11T22,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1284,megawatthours
2023-03-11T22,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1080,megawatthours
2023-03-11T22,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,317,megawatthours
2023-03-11T22,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,633,megawatthours
2023-03-11T22,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5345,megawatthours
2023-03-11T22,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2200,megawatthours
2023-03-11T21,ZONA,West - NYIS,NYIS,New York Independent System Operator,1682,megawatthours
2023-03-11T21,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,967,megawatthours
2023-03-11T21,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1885,megawatthours
2023-03-11T21,ZOND,North - NYIS,NYIS,New York Independent System Operator,696,megawatthours
2023-03-11T21,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,793,megawatthours
2023-03-11T21,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1208,megawatthours
2023-03-11T21,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1004,megawatthours
2023-03-11T21,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,303,megawatthours
2023-03-11T21,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,611,megawatthours
2023-03-11T21,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5268,megawatthours
2023-03-11T21,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2138,megawatthours
2023-03-11T20,ZONA,West - NYIS,NYIS,New York Independent System Operator,1674,megawatthours
2023-03-11T20,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,959,megawatthours
2023-03-11T20,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1913,megawatthours
2023-03-11T20,ZOND,North - NYIS,NYIS,New York Independent System Operator,690,megawatthours
2023-03-11T20,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,779,megawatthours
2023-03-11T20,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1155,megawatthours
2023-03-11T20,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,966,megawatthours
2023-03-11T20,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,291,megawatthours
2023-03-11T20,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,599,megawatthours
2023-03-11T20,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5265,megawatthours
2023-03-11T20,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2051,megawatthours
2023-03-11T19,ZONA,West - NYIS,NYIS,New York Independent System Operator,1676,megawatthours
2023-03-11T19,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,984,megawatthours
2023-03-11T19,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1927,megawatthours
2023-03-11T19,ZOND,North - NYIS,NYIS,New York Independent System Operator,696,megawatthours
2023-03-11T19,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,786,megawatthours
2023-03-11T19,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1200,megawatthours
2023-03-11T19,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,978,megawatthours
2023-03-11T19,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,299,megawatthours
2023-03-11T19,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,597,megawatthours
2023-03-11T19,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5347,megawatthours
