period,subba,subba-name,parent,parent-name,value,value-units
2023-08-26T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1926,megawatthours
2023-08-26T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1284,megawatthours
2023-08-26T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2029,megawatthours
2023-08-26T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,627,megawatthours
2023-08-26T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1012,megawatthours
2023-08-26T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1561,megawatthours
2023-08-26T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1450,megawatthours
2023-08-26T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,388,megawatthours
2023-08-26T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,767,megawatthours
2023-08-26T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6990,megawatthours
2023-08-26T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,3043,megawatthours
2023-08-25T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1967,megawatthours
2023-08-25T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1293,megawatthours
2023-08-25T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2038,megawatthours
2023-08-25T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,628,megawatthours
2023-08-25T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1005,megawatthours
2023-08-25T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1563,megawatthours
2023-08-25T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1449,megawatthours
2023-08-25T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,393,megawatthours
2023-08-25T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,776,megawatthours
2023-08-25T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,7128,megawatthours
2023-08-25T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,3059,megawatthours
2023-08-25T22,ZONA,West - NYIS,NYIS,New York Independent System Operator,1988,megawatthours
2023-08-25T22,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1295,megawatthours
2023-08-25T22,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2025,megawatthours
2023-08-25T22,ZOND,North - NYIS,NYIS,New York Independent System Operator,630,megawatthours
